       z         alpha                  phi1                  phi2                  end1                  end2
       1     0.1738579532E+01     0.7808761586E+00     0.4335395641E-01     0.6560090708E-02     0.4946697951E-02
       2     0.1878818169E+01     0.8444885194E+00     0.2740946680E-02     0.8026607728E-02     0.1111490700E-02
       3     0.1875121507E+01     0.8436101179E+00     0.3053561874E-02     0.9588074433E-02     0.1209422861E-02
       4     0.1875808149E+01     0.8433794192E+00     0.3389511619E-02     0.1108404574E-01     0.1324004332E-02
       5     0.1875287251E+01     0.8428131592E+00     0.3875933137E-02     0.1260443813E-01     0.1486007344E-02
       6     0.1874289682E+01     0.8420029504E+00     0.4533127282E-02     0.1419158883E-01     0.1696609723E-02
       7     0.1872936593E+01     0.8409237346E+00     0.5404552269E-02     0.1587453017E-01     0.1961045324E-02
       8     0.1871315702E+01     0.8395302195E+00     0.6548780262E-02     0.1767212764E-01     0.2285669610E-02
       9     0.1869476369E+01     0.8377511433E+00     0.8044483879E-02     0.1959663543E-01     0.2678084063E-02
      10     0.1867447285E+01     0.8354863244E+00     0.9996091433E-02     0.2165574662E-01     0.3147068938E-02
      11     0.1865244436E+01     0.8326004062E+00     0.1254125567E-01     0.2385362339E-01     0.3702531139E-02
      12     0.1862876176E+01     0.8289142441E+00     0.1586023820E-01     0.2619098306E-01     0.4355415277E-02
      13     0.1860346734E+01     0.8241940042E+00     0.2018734723E-01     0.2866424905E-01     0.5117553331E-02
      14     0.1857658786E+01     0.8181381076E+00     0.2582438621E-01     0.3126375256E-01     0.6001427736E-02
      15     0.1854815330E+01     0.8103624384E+00     0.3315573821E-01     0.3397098197E-01     0.7019822075E-02
      16     0.1851821080E+01     0.8003847854E+00     0.4266414318E-01     0.3675491661E-01     0.8185330931E-02
      17     0.1848683546E+01     0.7876103873E+00     0.5494532865E-01     0.3956756798E-01     0.9509695807E-02
      18     0.1845414011E+01     0.7713217931E+00     0.7071831069E-01     0.4233901788E-01     0.1100292698E-01
      19     0.1842028579E+01     0.7506781915E+00     0.9082624368E-01     0.4497252619E-01     0.1267216010E-01
      20     0.1838549598E+01     0.7247321473E+00     0.1162199245E+00     0.4734070985E-01     0.1452017395E-01
      21     0.1835008015E+01     0.6924759915E+00     0.1479118002E+00     0.4928437750E-01     0.1654343606E-01
      22     0.1831447871E+01     0.6529374974E+00     0.1868810390E+00     0.5061634377E-01     0.1872939655E-01
      23     0.1827934126E+01     0.6053552703E+00     0.2338994392E+00     0.5113340797E-01     0.2105257344E-01
      24     0.1824562086E+01     0.5494665809E+00     0.2892451742E+00     0.5064019790E-01     0.2346926456E-01
      25     0.1821460589E+01     0.4858978988E+00     0.3523128445E+00     0.4898697202E-01     0.2591235612E-01
      26     0.1818778775E+01     0.4165309698E+00     0.4212453025E+00     0.4611706215E-01     0.2829036034E-01
      27     0.1816655304E+01     0.3445884520E+00     0.4928429768E+00     0.4210906666E-01     0.3049555635E-01
      28     0.1815182958E+01     0.2742117551E+00     0.5629801404E+00     0.3719210121E-01     0.3242202404E-01
      29     0.1814385578E+01     0.2095731474E+00     0.6274888763E+00     0.3171897445E-01     0.3398751333E-01
      30     0.1814215284E+01     0.1538909392E+00     0.6831433347E+00     0.2610131538E-01     0.3514955569E-01
      31     0.1814566977E+01     0.1088025687E+00     0.7282890091E+00     0.2072954719E-01     0.3590925986E-01
      32     0.1815302085E+01     0.7431871827E-01     0.7628925708E+00     0.1590626119E-01     0.3630302198E-01
      33     0.1816273665E+01     0.4924731803E-01     0.7881220566E+00     0.1181204293E-01     0.3638769296E-01
      34     0.1817346922E+01     0.3179354189E-01     0.8057502836E+00     0.8506452332E-02     0.3622579725E-01
      35     0.1818411675E+01     0.2007561916E-01     0.8176410899E+00     0.5953851053E-02     0.3587504619E-01
      36     0.1819386101E+01     0.1243985108E-01     0.8254349141E+00     0.4059181811E-02     0.3538316863E-01
      37     0.1820213455E+01     0.7584617294E-02     0.8304242274E+00     0.2701475809E-02     0.3478690568E-01
      38     0.1820854630E+01     0.4559676234E-02     0.8335529998E+00     0.1758604955E-02     0.3411334397E-01
      39     0.1821279240E+01     0.2707422659E-02     0.8354739778E+00     0.1121968766E-02     0.3338207653E-01
      40     0.1821456948E+01     0.1590210754E-02     0.8366199436E+00     0.7028449843E-03     0.3260730411E-01
      41     0.1821349726E+01     0.9252733589E-03     0.8372675327E+00     0.4331518771E-03     0.3179951113E-01
      42     0.1820905100E+01     0.5341530536E-03     0.8375866933E+00     0.2631572770E-03     0.3096665753E-01
      43     0.1820050197E+01     0.3064166268E-03     0.8376759795E+00     0.1579726043E-03     0.3011496000E-01
      44     0.1818686599E+01     0.1748942385E-03     0.8375864242E+00     0.9394631995E-04     0.2924936832E-01
      45     0.1816686529E+01     0.9936022356E-04     0.8373371448E+00     0.5551189289E-04     0.2837382863E-01
      46     0.1813891739E+01     0.5605741105E-04     0.8369254813E+00     0.3268318913E-04     0.2749139220E-01
      47     0.1810117589E+01     0.3111775720E-04     0.8363340023E+00     0.1918959372E-04     0.2660417712E-01
      48     0.1805165945E+01     0.1651629593E-04     0.8355363326E+00     0.1115283628E-04     0.2571309775E-01
      49     0.1798850947E+01     0.7673307615E-05     0.8345034062E+00     0.6183454728E-05     0.2481708602E-01
      50     0.1791039932E+01     0.2239891519E-05     0.8332111415E+00     0.2786954288E-05     0.2391112950E-01
